username,number_of_tickets
AaronInAlaska#0001,1
All-In#6135,1
Ambassador#1775,1
AnonYMouse#3356,1
ArnoCarstens#0001,1
Asm#0113,1
Austinn#4126,1
Bacus BTC#4790,1
BowTiedLawyer#0796,1
Chang🦍#6705,1
F31ix.btc#1578,1
Fluff_Traveler#9304,1
IceArc.btc#5251,1
Kaylee.btc#7266,1
LukevCapital#6463,1
Markiv#3491,1
Mazza#5701,1
Murphy Lee#9780,1
NICOLE🌸#0445,1
NateB#3947,1
Null Bloat#4956,1
Repo#7897,1
Shiba#0112,1
SteveM#5233,1
TimI#2797,1
Vova.btc#0453,1
Wahab.btc#6780,1
WhenInDoubt.btc#0051,1
Wilson Bright Ӿ#4652,1
Win Win#3730,1
Zoomed123#2133,1
acttop07#3838,1
berry#6676,1
casual.btc#8609,1
eparrot#3251,1
fitzroyjenkins#6742,1
gazua#3664,1
jinee 지니#6059,1
johnennis#6100,1
longstreet.btc#5258,1
madhatter.btc#8156,1
mult.btc#1288,1
nicksainato#2222,1
pryzm#8888,1
wahabi.btc#4809,1
yohun#0001,1
0xLOC#8554,2
3ternal.btc#5370,2
Brendonius#4687,2
Brick#0690,2
Burrito_Jon#9491,2
Choi1386#2767,2
DatGreenSpot#2106,2
Destiny#0002,2
GoodKitty#0001,2
Manny1313#4248,2
Morguf#4985,2
Pablo Yanoski#9315,2
Sean C#8064,2
TheOverflow#5159,2
Tokenmixer.btc#0163,2
TracSpurs.btc#0279,2
Venus Sun#7485,2
bolt.btc#1244,2
nft_huntsman#2639,2
ninebit#1519,2
rbandy.btc#9247,2
trevor_btc#2047,2
GhostDemian#3648,3
TheLight#5522,3
grumpy_coot#0476,3
reubs.eth#9741,3
BowTiedPT#0268,4
Mohsen63#1008,4
NickySpecs.btc#0509,4
Tangaroa#5313,4
"Ribbit (〖〗,〖〗)#1750",5
mannymoe#2345,6
Dash#8766,8
openroad#6032,8
Cruyff#7565,13
bond99#5269,14
